CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
3,64,29
4,-65,-29
5,65,27
6,-66,-26
7,66,33
8,-69,-17
9,-72,-1
10,-72,8
11,-71,5
12,-66,27
13,-65,33
14,-60,36
15,-48,52
16,-44,56
17,-33,64
18,-31,63
19,-14,71
20,-11,72
21,-2,70
22,7,72
23,25,68
24,31,64
25,42,59
26,43,58
27,50,50
28,64,36
29,60,35
30,67,28
31,68,24
32,70,14
33,71,-1
34,70,-20
35,67,-28
36,61,-38
37,60,-40
38,51,-53
39,43,-54
40,40,-60
41,33,-64
42,17,-68
43,-1,-71
44,3,-74
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-41.0 dBm
idx,I,Q
0,41,-61
1,-48,56
2,38,-62
3,-34,61
4,29,-67
5,-26,67
6,29,-64
7,-36,63
8,16,-69
9,7,-71
10,-2,-72
11,-5,-72
12,-33,-65
13,-27,-68
14,-29,-65
15,-51,-51
16,-53,-49
17,-64,-38
18,-64,-31
19,-71,-21
20,-71,-12
21,-71,-2
22,-72,11
23,-70,20
24,-70,19
25,-61,40
26,-60,41
27,-51,50
28,-40,61
29,-40,58
30,-24,69
31,-19,69
32,-15,67
33,3,71
34,10,74
35,18,68
36,28,68
37,39,59
38,47,49
39,55,46
40,61,38
41,64,35
42,68,27
43,69,1
44,72,4
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-41.0 dBm
idx,I,Q
0,49,54
1,-51,-50
2,55,43
3,-59,-41
4,58,42
5,-60,-40
6,55,42
7,-57,-45
8,66,23
9,67,26
10,70,16
11,73,11
12,74,0
13,69,-25
14,65,-27
15,62,-33
16,62,-36
17,49,-50
18,43,-56
19,41,-56
20,28,-65
21,18,-69
22,15,-71
23,-2,-70
24,-15,-70
25,-27,-68
26,-34,-61
27,-36,-65
28,-51,-53
29,-47,-52
30,-57,-43
31,-67,-28
32,-65,-28
33,-72,-12
34,-72,-6
35,-71,5
36,-71,10
37,-68,27
38,-66,31
39,-54,45
40,-53,45
41,-45,56
42,-36,65
43,-23,68
44,-29,64
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-47.0 dBm
idx,I,Q
0,-33,35
1,29,-40
2,-28,40
3,27,-38
4,-26,42
5,23,-41
6,-23,42
7,21,-43
8,-13,46
9,-9,48
10,-2,47
11,3,47
12,8,47
13,17,44
14,21,44
15,30,39
16,31,36
17,38,28
18,42,23
19,43,18
20,47,11
21,46,8
22,47,-3
23,47,-9
24,45,-12
25,44,-19
26,40,-27
27,39,-30
28,35,-34
29,32,-36
30,24,-40
31,20,-45
32,11,-47
33,10,-46
34,2,-48
35,-6,-48
36,-11,-47
37,-18,-46
38,-24,-40
39,-29,-39
40,-33,-33
41,-34,-29
42,-41,-25
43,-47,-10
44,-48,-11
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-47.0 dBm
idx,I,Q
0,-16,45
1,17,-45
2,-11,48
3,12,-46
4,-12,45
5,6,-48
6,-7,47
7,7,-47
8,-6,48
9,2,48
10,10,47
11,22,43
12,21,43
13,28,39
14,30,38
15,38,28
16,42,24
17,43,14
18,43,15
19,49,5
20,47,-2
21,48,-8
22,45,-20
23,44,-15
24,40,-25
25,37,-29
26,31,-38
27,29,-38
28,29,-40
29,19,-45
30,16,-46
31,7,-46
32,2,-48
33,-4,-49
34,-16,-44
35,-21,-43
36,-27,-41
37,-29,-35
38,-33,-36
39,-39,-30
40,-41,-22
41,-45,-15
42,-46,-16
43,-47,-8
44,-47,1
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-47.0 dBm
idx,I,Q
0,-28,-38
1,23,40
2,-31,-36
3,37,31
4,-34,-33
5,37,28
6,-37,-27
7,36,27
8,-41,-25
9,-43,-20
10,-46,-15
11,-45,-1
12,-49,0
13,-49,4
14,-46,8
15,-44,15
16,-41,23
17,-38,28
18,-35,32
19,-30,36
20,-23,41
21,-17,45
22,-8,46
23,-8,45
24,-2,48
25,10,44
26,17,45
27,21,45
28,24,40
29,27,40
30,36,34
31,40,24
32,46,19
33,46,14
34,45,6
35,47,8
36,48,-3
37,47,-7
38,46,-15
39,42,-18
40,40,-26
41,32,-34
42,37,-34
43,27,-40
44,22,-40
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-47.0 dBm
idx,I,Q
0,-13,-45
1,12,47
2,-11,-48
3,12,47
4,-13,-45
5,16,45
6,-16,-43
7,18,42
8,-23,-42
9,-25,-38
10,-35,-33
11,-38,-24
12,-40,-26
13,-45,-17
14,-44,-14
15,-46,-9
16,-47,2
17,-48,9
18,-47,10
19,-43,17
20,-37,27
21,-37,30
22,-30,36
23,-26,39
24,-21,42
25,-12,46
26,-6,46
27,-7,49
28,2,47
29,5,46
30,15,45
31,21,42
32,23,39
33,32,33
34,37,28
35,38,26
36,42,21
37,45,13
38,46,12
39,46,0
40,47,-6
41,46,-13
42,47,-10
43,41,-25
44,39,-26
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-48.0 dBm
idx,I,Q
0,12,-44
1,-11,46
2,6,-47
3,-6,46
4,3,-47
5,-4,46
6,0,-48
7,0,46
8,-4,-46
9,-11,-45
10,-22,-43
11,-19,-42
12,-26,-40
13,-32,-33
14,-36,-30
15,-37,-27
16,-42,-21
17,-44,-14
18,-47,-9
19,-48,-3
20,-46,3
21,-44,9
22,-43,16
23,-41,21
24,-36,29
25,-34,31
26,-26,39
27,-26,41
28,-15,44
29,-11,47
30,-2,46
31,-7,45
32,7,45
33,11,45
34,14,45
35,25,38
36,28,39
37,33,32
38,37,26
39,38,24
40,42,20
41,45,8
42,46,5
43,47,-6
44,46,-10
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
0,-2,39
1,2,-38
2,-6,37
3,3,-40
4,-5,40
5,-2,-41
6,7,40
7,-4,-40
8,7,37
9,14,38
10,16,37
11,22,33
12,28,28
13,30,20
14,31,21
15,34,16
16,35,14
17,40,7
18,39,-2
19,37,-2
20,37,-11
21,35,-14
22,32,-24
23,31,-24
24,26,-27
25,23,-31
26,18,-36
27,11,-38
28,8,-38
29,7,-39
30,-2,-39
31,-8,-39
32,-16,-35
33,-14,-36
34,-19,-32
35,-27,-28
36,-28,-27
37,-34,-24
38,-35,-15
39,-36,-12
40,-40,-4
41,-41,-3
42,-36,7
43,-39,10
44,-36,18
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
0,14,37
1,-18,-38
2,16,35
3,-10,-38
4,20,35
5,-22,-35
6,22,30
7,-28,-29
8,21,32
9,29,25
10,32,21
11,34,15
12,35,14
13,38,5
14,39,-1
15,41,-5
16,38,-5
17,38,-13
18,36,-21
19,34,-19
20,30,-27
21,27,-30
22,20,-34
23,18,-35
24,13,-40
25,7,-39
26,0,-41
27,-9,-40
28,-9,-40
29,-11,-37
30,-16,-38
31,-21,-34
32,-29,-25
33,-30,-23
34,-33,-19
35,-38,-13
36,-39,-11
37,-39,-1
38,-39,1
39,-39,5
40,-37,11
41,-34,18
42,-31,24
43,-30,25
44,-27,29
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
0,37,-18
1,-33,19
2,34,-19
3,-36,18
4,34,-19
5,-32,24
6,31,-24
7,-29,27
8,31,-27
9,22,-34
10,19,-34
11,15,-36
12,9,-38
13,2,-40
14,-2,-39
15,-6,-39
16,-10,-37
17,-17,-37
18,-22,-35
19,-23,-32
20,-29,-26
21,-31,-22
22,-34,-21
23,-37,-14
24,-40,-10
25,-39,-3
26,-40,4
27,-39,7
28,-39,13
29,-35,15
30,-35,17
31,-30,27
32,-25,29
33,-19,32
34,-19,35
35,-12,37
36,-8,37
37,1,38
38,4,38
39,10,38
40,15,35
41,20,32
42,30,25
43,31,26
44,33,22
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-49.0 dBm
idx,I,Q
0,34,44
1,-36,-41
2,34,39
3,-31,-43
4,35,40
5,-38,-42
6,37,39
7,-47,-29
8,41,34
9,48,25
10,46,25
11,51,13
12,52,10
13,55,-8
14,53,-10
15,51,-18
16,48,-21
17,45,-31
18,38,-40
19,41,-36
20,29,-45
21,23,-48
22,15,-52
23,6,-53
24,5,-53
25,-6,-55
26,-15,-53
27,-16,-51
28,-23,-50
29,-32,-43
30,-32,-42
31,-42,-31
32,-48,-22
33,-49,-20
34,-50,-13
35,-56,-2
36,-53,-2
37,-52,8
38,-51,16
39,-50,22
40,-43,30
41,-39,35
42,-34,42
43,-32,45
44,-27,48
VALID_SAMPLES=45
END_IQ
CTE[0]: samples=45, type=AOA, slot=2 us, status=CRC OK, RSSI=-46.0 dBm
idx,I,Q
0,33,24
1,-34,-22
2,34,20
3,-36,-18
4,36,14
5,-37,-18
6,39,14
7,-37,-10
8,39,12
9,38,5
10,40,-1
11,36,-6
12,37,-14
13,37,-12
14,33,-24
15,28,-30
16,26,-31
17,20,-34
18,16,-36
19,10,-36
20,12,-37
21,3,-40
22,0,-40
23,-11,-40
24,-16,-37
25,-20,-34
26,-30,-29
27,-29,-27
28,-34,-21
29,-36,-18
30,-36,-18
31,-38,-9
32,-39,2
33,-40,5
34,-39,10
35,-38,11
36,-36,14
37,-31,21
38,-29,24
39,-25,32
40,-24,30
41,-20,34
42,-11,35
43,-7,37
44,-3,39
VALID_SAMPLES=45
END_IQ
